"Item #","Item Description",MSP,"Retail Price","Dealer Price","Sale Price","Sale Ends",Quantity,"UPC Code",Manufacturer,"Gun Type","Model Series",Caliber,Action,Capacity,Finish,Stock,Sights,"Barrel Length","Overall Length",Features
BAW9247PRCG,"SPG 2020 WAYPT 24SS 7PRC EG",$1681.00,$2173.00,$1681.00,,,0,#706397969226#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","7MM PRC","Bolt Action",3+1,"Evergreen Camo/ Green Cerakote Barrel","Stainless Steel/ Evergreen Camo","No Sights","24 Stainless Steel",46,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAW9247PRCCFG,"SPG 2020 WAYPT 24CF 7PRC EG",$2010.00,$2599.00,$2010.00,,,0,#706397959234#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","7MM PRC","Bolt Action",3+1,"Evergreen Camo/ Green Cerakote Barrel","Carbon Fiber/ Evergreen Camo","No Sights","24 Carbon Fiber",46,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAW9247PRCCFGA,"SPG 2020 WYPT ADJ 24CF 7PRC EG",$2065.00,$2670.00,$2065.00,,,1,#706397959241#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","7MM PRC","Bolt Action",3+1,"Evergreen Camo/ Carbon Fiber Green Cerakote","Carbon Fiber/ Evergreen Camo/ Adjustable","No Sights","24 Carbon Fiber",46,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAW9247PRCCFD,"SPG 2020 WAYPT 24CF 7PRC RL",$2010.00,$2599.00,$2010.00,,,1,#706397963026#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","7MM PRC","Bolt Action",3+1,"Ridgeline Camo/ Desert Verde Cerakote Barrel","Carbon Fiber/ Desert Verde Camo","No Sights","24 Carbon Fiber",46,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAW9247PRCCFDA,"SPG 2020 WYPT ADJ 24CF 7PRC RL",$2065.00,$2670.00,$2065.00,,,1,#706397962883#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","7MM PRC","Bolt Action",3+1,"Ridgeline Camo/ Desert Verde Cerakote Barrel","Carbon Fiber/ Desert Verde Camo/ Adjustable","No Sights","24 Carbon Fiber",46,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAW924300PRCCFG,"SPG 2020 WAYPT 24CF 300PRC EG",$2010.00,$2599.00,$2010.00,,,1,#706397952907#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","300 PRC","Bolt Action",3+1,"Evergreen Camo/ Green Cerakote Barrel","Carbon Fiber/ Evergreen Camo","No Sights","24 Carbon Fiber",46,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
706397952891,"SPG 2020 WYPT ADJ 24CF 300 EG",$2065.00,$2670.00,$2065.00,,,1,#706397952891#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","300 PRC","Bolt Action",3+1,"Evergreen Camo/ Carbon Fiber Green Cerakote","Carbon Fiber/ Evergreen Camo/ Adjustable","No Sights","24 Carbon Fiber",46,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
706397981198,"SPG 2020 WYPT ADJ 24CF 300 RL",$2065.00,$2670.00,$2065.00,,,1,#706397981198#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","300 PRC","Bolt Action",3+1,"Ridgeline Camo/ Desert Verde Cerakote Barrel","Carbon Fiber/ Desert Verde Camo/ Adjustable","No Sights","24 Carbon Fiber",46,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAW924270CFD,"SPG 2020 WYPT 24CF 270 RG CAMO",$2010.00,$2599.00,$2010.00,,,1,#706397981174#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","270 WIN","Bolt Action",3+1,"Ridgeline Camo/ Black Cerakote Barrel","Carbon Fiber/ Ridgeline Camo","No Sights","24 Carbon Fiber",46,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAW9243006CFD,"SPG 2020 WAYPT 24CF 30-06 EG",$2010.00,$2599.00,$2010.00,,,0,#706397979539#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","30-06 SPRG","Bolt Action",3+1,"Evergreen Camo/ Green Cerakote Barrel","Carbon Fiber/ Evergreen Camo","No Sights","24 Carbon Fiber",46,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAW920308G,"SPG 2020 WAYPNT BA 20SS 308 EG",$1681.00,$2173.00,$1681.00,,,1,#706397939120#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","7.62 NATO|308","Bolt Action",5+1,"Evergreen Camo/ Green Cerakote Barrel","Carbon Fiber/ Evergreen Camo","No Sights","20 Stainless",41.5,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAW920308D,"SPG 2020 WAYPNT BA 20SS 308 RL",$1681.00,$2173.00,$1681.00,,,1,#706397939380#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","308 WIN","Bolt Action",5+1,"Ridgeline Camo/ Desert Verde Cerakote Barrel","Carbon Fiber/ Desert Verde Camo","No Sights","20 Stainless Steel",41.5,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAW920308GA,"SPG 2020 WAYPNT ADJ 20S 308 EG",$1736.00,$2244.00,$1736.00,,,0,#706397939472#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","308 WIN","Bolt Action",5+1,"Evergreen Camo/ Green Cerakote Barrel","Carbon Fiber/ Evergreen Camo/ Ajustable Stock","No Sights","20 Stainless",41.5,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAW920308DA,"SPG 2020 WAYPNT ADJ 20S 308 RL",$1736.00,$2244.00,$1736.00,,,0,#706397939601#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","308 WIN","Bolt Action",5+1,"Ridgeline Camo/ Desert Verde Cerakote Barrel","Carbon Fiber/ Desert Verde Camo/ Adjustable STK","No Sights","20 Stainless Steel",41.5,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAW920308CFG,"SPG 2020 WAYPNT BA 20CF 308 EG",$2010.00,$2599.00,$2010.00,$1649.99,12/2/2024,0,#706397939137#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","308 WIN","Bolt Action",5+1,"Evergreen Camo/ Green Cerakote Barrel","Carbon Fiber/ Evergreen Camo","No Sights","20 Carbon Fiber",41.5,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAW920308CFGA,"SPG 2020 WAYPT ADJ 20CF 308 EG",$2065.00,$2670.00,$2065.00,,,0,#706397939465#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","308 WIN","Bolt Action",5+1,"Evergreen Camo/ Carbon Fiber Barrel","Carbon Fiber/ Evergreen Camo/ Adjustable Stock","No Sights",20,41.5,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAW9206CMGA,"SPG 2020 WAYPNT ADJ 20S 6MM EG",$1736.00,$2244.00,$1736.00,,,1,#706397939519#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","6MM CREEDMOOR","Bolt Action",5+1,"Evergreen Camo/ Green Cerakote Barrel","Carbon Fiber/ Evergreen Camo/ Adjustable","No Sights","20 Stainless Steel",41.5,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAW9206CMCFD,"SPG 2020 WAYPNT BA 20CF 6MM RL",$2010.00,$2599.00,$2010.00,,,0,#706397939397#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","6MM CREEDMOOR","Bolt Action",5+1,"Ridgeline Camo/ Desert Verde Cerakote Barrel","Carbon Fiber/ Desert Verde Camo","No Sights","20 Carbon Fiber",41.5,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAW9206CMCFDA,"SPG 2020 WAYPNT AD 20CF 6MM RL",$2065.00,$2670.00,$2065.00,,,0,#706397939489#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","6MM CREEDMOOR","Bolt Action",5+1,"Ridgeline Camo/ Desert Verde Cerakote Barrel","Carbon Fiber/ Desert Verde Camo/ Adjustable","No Sights","20 Carbon Fiber",41.5,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAW92465PRCD,"SPG 2020 WAYPT BA 24SS 6.5P RL",$1681.00,$2173.00,$1681.00,,,0,#706397939441#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","6.5 PRC","Bolt Action",3+1,"Ridgeline Camo/ Desert Verde Cerakote Barrel","Carbon Fiber/ Desert Verde Camo","No Sights","24 Stainless Steel",43.5,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAW92465PRCCFG,"SPG 2020 WAYPT BA 24CF 6.5P EG",$2010.00,$2599.00,$2010.00,$1599.99,12/2/2024,0,#706397939151#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","6.5 PRC","Bolt Action",3+1,"Evergreen Camo/ Green Cerakote Barrel","Carbon Fiber/ Evergreen Camo","No Sights","24 Carbon Fiber",43.5,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAW92465PRCCFGA,"SPG 2020 WAYPT AD 24CF 6.5P EG",$2065.00,$2670.00,$2065.00,,,0,#706397939571#,"Springfield Armory","Rifle: Bolt Action","2020 Waypoint","6.5 PRC","Bolt Action",3+1,"Evergreen Camo/ Green Cerakote Barrel","Carbon Fiber/ Evergreen Camo/ Adjustable","No Sights","24 Carbon Fiber",43.5,"Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAT91665CMCFGC,"SPG 2020 REDLINE 16GN 6.5C GT",$1781.00,$2299.00,$1781.00,,,1,#706397970604#,"Springfield Armory","Rifle: Bolt Action","2020 Redline","6.5 CREEDMOOR","Bolt Action",3+1,"Green Cerakote","Grayboe Trekkler/ Olive W/ Black Webbing","No Sights","16 Carbon Fiber","36.5 - 37.75","Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAT92065CMCFGC,"SPG 2020 REDLINE 20GN 6.5C GT",$1781.00,$2299.00,$1781.00,,,1,#706397950835#,"Springfield Armory","Rifle: Bolt Action","2020 Redline","6.5 CREEDMOOR","Bolt Action",3+1,"Green Cerakote","Grayboe Trekkler/ Olive W/ Black Webbing","No Sights","20 Carbon Fiber","40.5 - 41.75","Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAT916308CFGC,"SPG 2020 REDLINE 16GN 308 GT",$1781.00,$2299.00,$1781.00,,,1,#706397970598#,"Springfield Armory","Rifle: Bolt Action","2020 Redline","7.62 NATO|308","Bolt Action",3+1,"Green Cerakote","Grayboe Trekkler/ Olive W/ Black Webbing","No Sights","16 Carbon Fiber","36.5 - 37.75","Picatinny Mount/ Trigger Tech Adjustable Trigger"
BAT920308CFGC,"SPG 2020 REDLINE 20GN 308 GT",$1781.00,$2299.00,$1781.00,,,1,#706397970611#,"Springfield Armory","Rifle: Bolt Action","2020 Redline","7.62 NATO|308","Bolt Action",3+1,"Green Cerakote","Grayboe Trekkler/ Olive W/ Black Webbing","No Sights","20 Carbon Fiber","40.5 - 41.75","Picatinny Mount/ Trigger Tech Adjustable Trigger"
BART92022B,"SPG 2020 RIMFIRE TGT 22LR BLK",$336.00,$434.00,$336.00,,,1,#706397956646#,"Springfield Armory","Rifle: Bolt Action","2020 Rimfire",22LR,"Bolt Action",10+1,"Matte Blue","Black/ Target/ Polymer Stock","No Sights","20 #1 Sporter Contour Barrel","38 Threaded Barrel","Picatinny Mount/ Adjustable Remington 700 Trigger"
BART92022TBW,"SPG 2020 RIMFIRE TGT 22LR SGE",$386.00,$499.00,$386.00,,,6,#706397962463#,"Springfield Armory","Rifle: Bolt Action","2020 Rimfire",22LR,"Bolt Action",10+1,"Matte Blue","Sage Green W/ Black Webbing Stock","No Sights","20 #1 Sporter Contour Barrel","38 Threaded Barrel","Picatinny Mount/ Adjustable Remington 700 Trigger"
BART92022GBW,"SPG 2020 RIMFIRE TG 22LR 20ODG",$386.00,$499.00,$386.00,,,2,#706397956622#,"Springfield Armory","Rifle: Bolt Action","2020 Rimfire",22LR,"Bolt Action",10+1,"OD Green with Black Webbing","OD Green/ Reinforced Polymer/ Target","No Sights","20 Heavy Profile/ Straight Taper Contour","38 Threaded Barrel","Picatinny Mount/ Adjustable Remington 700 Trigger"
BART92022CBW,"SPG 2020 RIMFIRE TG 22LR 20CB",$386.00,$499.00,$386.00,,,1,#706397974800#,"Springfield Armory","Rifle: Bolt Action","2020 Rimfire",22LR,"Bolt Action",10+1,"Coyote Brown with Black Webbing","Coyote Brown/ Reinforced Polymer/ Target","No Sights","20 Heavy Profile/ Straight Taper Contour","38 Threaded Barrel","Picatinny Mount/ Adjustable Remington 700 Trigger"
BARC92022GS,"SPG 2020 RIMFIRE 22LR SAT WAL",$409.00,$529.00,$409.00,,,2,#706397969264#,"Springfield Armory","Rifle: Bolt Action","2020 Rimfire",22LR,"Bolt Action",10+1,"Matte Blue","Select Satin Walnut","No Sights","20 #1 Sporter Contour Barrel",38.25,"Picatinny Mount/ Adjustable Remington 700 Trigger"
BARC92022GA,"SPG 2020 RIMFIRE A 22LR WAL",$533.00,$690.00,$533.00,,,4,#706397969271#,"Springfield Armory","Rifle: Bolt Action","2020 Rimfire",22LR,"Bolt Action",10+1,"Matte Blue","Grade A Walnut Stock","No Sights","20 #1 Sporter Contour Barrel",38.25,"Picatinny Mount/ Adjustable Remington 700 Trigger"
BARC92022GAA,"SPG 2020 RIMFIRE AA 22LR WAL",$649.00,$839.00,$649.00,,,5,#706397969288#,"Springfield Armory","Rifle: Bolt Action","2020 Rimfire",22LR,"Bolt Action",10+1,"Matte Blue","Grade AA Walnut Stock","No Sights","20 #1 Sporter Contour Barrel",38.25,"Picatinny Mount/ Adjustable Remington 700 Trigger"
BARC92022GAAA,"SPG 2020 RIMFIRE AAA 22LR WAL",$850.00,$1099.00,$850.00,,,0,#706397969295#,"Springfield Armory","Rifle: Bolt Action","2020 Rimfire",22LR,"Bolt Action",10+1,"Matte Blue","Grade AAA Walnut Stock","No Sights","20 #1 Sporter Contour Barrel",38.25,"Picatinny Mount/ Adjustable Remington 700 Trigger"
MP9820C65,"SPG M1A PREC 6.5C RFL FDE 10R",$1662.00,$2149.00,$1662.00,,,0,#706397916961#,"Springfield Armory","Rifle: Semi-Auto","M1A|M1A Precision Adjustable Rifle","6.5 CREEDMOOR",Semi-Automatic,10+1,"Flat Dark Earth","Flat Dark Earth Precision Adjustable Stock","Front:Nat. Match .062 Rear: Match Aperture .052",22,"45 - 46.25","2 Stage/ NM Tuned Trigger"
MP9826C65,"SPG M1A PREC 6.5C RFL B/SS 10",$1662.00,$2149.00,$1662.00,,,0,#706397916022#,"Springfield Armory","Rifle: Semi-Auto","M1A|M1A Precision Adjustable Rifle","6.5 CREEDMOOR",Semi-Automatic,10+1,"Black Matte/ Stainless Barrel","Black Precision Adjustable Stock","Front:Nat. Match .062 Rear: Match Aperture .052",22,"45 - 46.25","2 Stage/ NM Tuned Trigger"
AA9626,"SPG M1A SOCOM-16 7.62 BLK STK",$1614.00,$2087.00,$1614.00,,,12,#706397852665#,"Springfield Armory","Rifle: Semi-Auto","M1A|M1A Socom","7.62 NATO|308",Semi-Automatic,10+1,"Black Matte","Black Composite","Front: XS-Tritium Post Rear: Ghost Ring",16.25,37.25,"Retuned Gas System/ Approved for California"
AA9611,"SPG M1A SOCOM-16 7.62 BLK COMP",$1741.00,$2250.00,$1741.00,,,10,#706397904074#,"Springfield Armory","Rifle: Semi-Auto","M1A|M1A Socom","7.62 NATO|308",Semi-Automatic,10+1,"Black Matte","Black Composite/ 5-Position CQB","Front: XS-Tritium Post Rear: Ghost Ring",16.25,35.5-38.5,"M-Lok Rail System/ 1 Seven Slot Rail & 2 Three Slot"
AA9622,"SPG M1A TANKER 7.62 WALNUT",$1614.00,$2087.00,$1614.00,,,5,#706397926748#,"Springfield Armory","Rifle: Semi-Auto","M1A|M1A Socom","7.62 NATO|308",Semi-Automatic,10+1,"Black Matte","Vintage Walnut Stock","Front: XS-Tritium Post Rear: Ghost Ring",16.25,37.25,"Retuned Gas System/ Approved for California"
AA9122,"SPG M1A 308 SEMI SCOUT RFL WAL",$1614.00,$2087.00,$1614.00,,,0,#706397041229#,"Springfield Armory","Rifle: Semi-Auto","M1A|M1A Scout Squad","7.62 NATO|308",Semi-Automatic,10+1,"Black Matte",Walnut,"FT: Nat. Match .062 RR: Standard Aperture",18,40.333,"Modified Handguard/ Chrome-Moly Barrel"
AA9126,"SPG M1A SCOUT 7.62 RFL BLK STK",$1502.00,$1942.00,$1502.00,,,0,#706397041267#,"Springfield Armory","Rifle: Semi-Auto","M1A|M1A Scout Squad","7.62 NATO|308",Semi-Automatic,10+1,"Black Matte","Synthetic/ Black","FT: Nat. Match .062 RR: Standard Aperture",18,40.333,"Modified Handguard/ Chrome-Barrel"
MA9102-5,"SPG M1A 7.62 STD SEMI RFL WLNT",$1451.00,$1875.00,$1451.00,,,7,#706397011024#,"Springfield Armory","Rifle: Semi-Auto","M1A|M1A Standard","7.62 NATO|308",Semi-Automatic,10+1,"Black Matte",Walnut,"Front: Military Post Rear:Military Aperture Adj",22,44.333,"Fiberglass Handguard"
MA9106-5,"SPG M1A 7.62 RFL W/BLK FBR STK",$1370.00,$1770.00,$1370.00,,,8,#706397011062#,"Springfield Armory","Rifle: Semi-Auto","M1A|M1A Standard","7.62 NATO|308",Semi-Automatic,10+1,"Matte Black",Synthetic/Black,"Front:Nat. Match .062 Rear: Military Aperture",22,44.333,"Fiberglass Handguard"
MA9120,"SPG M1A 7.62 RFL FDE COMP STK",$1370.00,$1770.00,$1370.00,,,17,#706397900106#,"Springfield Armory","Rifle: Semi-Auto","M1A|M1A Standard","7.62 NATO|308",Semi-Automatic,10+1,"Matte Black","Flat Dark Earth Composite Stock","Front:Nat. Match .062 Rear: Military Aperture",22,44.3,"Fiberglass Handguard"
MA9222,"SPG M1A 308 RFL W/N.M.BBL WLNT",$1594.00,$2060.00,$1594.00,,,4,#706397012229#,"Springfield Armory","Rifle: Semi-Auto","M1A|M1A Loaded Standard","7.62 NATO|308",Semi-Automatic,10+1,Black,"Walnut Stock","Match GI Sights- .5 MOA Windage/1 MOA Elevation","22 Carbon Barrel",44.333,"National Match Trigger Group"
MA9226,"SPG M1A 7.62 RFL NM BBL/BLK",$1499.00,$1938.00,$1499.00,,,10,#706397012267#,"Springfield Armory","Rifle: Semi-Auto","M1A|M1A Loaded Standard","7.62 NATO|308",Semi-Automatic,10+1,"Black Matte","Synthetic/ Black","Front:Nat. Match .062 Rear: Match Aperture .052",22,44.333,"National Match Trigger Group/ Fiberglass Handguard"
MP9226,"SPG M1A PREC 7.62 RFL B 10RD",$1628.00,$2104.00,$1628.00,,,1,#706397900755#,"Springfield Armory","Rifle: Semi-Auto","M1A|M1A Precision Adjustable Rifle","7.62 NATO|308",Semi-Automatic,10+1,"Black Matte","Synthetic/ Black/ Fully Adjustable Stock","Front:Nat. Match .062 Rear: Match Aperture .052",22,"45 - 46.25","National Match Trigger Group/ Fiberglass Handguard"
MP9220,"SPG M1A PREC 7.62 RFL FDE 10RD",$1628.00,$2104.00,$1628.00,,,3,#706397900793#,"Springfield Armory","Rifle: Semi-Auto","M1A|M1A Precision Adjustable Rifle","7.62 NATO|308",Semi-Automatic,10+1,"Black Matte","Synthetic/ Flat Dark Earth/ Fully Adjustable","Front:Nat. Match .062 Rear: Match Aperture .052",22,"45 - 46.25","National Match Trigger Group/ Fiberglass Handguard"
HL920556BCA,"SPG HELLION 5.56 20B 10RD CA",$1574.00,$1999.00,$1574.00,,,6,#706397973186#,"Springfield Armory","Rifle: Semi-Auto",Hellion,"5.56 NATO|223",Semi-Automatic,10+1,Black,"Fixed Stock/ Strike Industries Grip","Low Profile Flip-Up Dual Aperture Rear","20 CMV Melonite",31.75,"1:7 RH Twist/"
ST916556BMACA-S,"SPG SAINT RFL MLOK 5.56 16B 10",$791.00,$1023.00,$791.00,,,3,#706397927110#,"Springfield Armory","Rifle: Semi-Auto",Saint,"5.56 NATO|223",Semi-Automatic,10+1,Black,"Magpul MOE Fixed/ M-LOK","Low Profile Flip-Up Dual Aperture Rear","16 Chrome Moly Vanadium",36,"1:8 RH Twist/ BCM Gunfighter Handguard"
ST916556BMCA-S,"SPG SANT RFL 5.56 16B 10 GS CA",$791.00,$1023.00,$791.00,,,4,#706397927080#,"Springfield Armory","Rifle: Semi-Auto",Saint,"5.56 NATO|223",Semi-Automatic,10+1,Black,"BCMGUNFIGHTER Mod 3 Pistol Grip","Low Profile Flip-Up Dual Aperture Rear","16 Chrome Moly Vanadium","35.5 Extended 32.25 Collapsed","1:8 RH Twist/ BCMGUNFIGHTER Handguard"
STV916556BCA,"SPG SNT VIC RFL 5.56 16B 10 CA",$890.00,$1150.00,$890.00,,,5,#706397925987#,"Springfield Armory","Rifle: Semi-Auto",Saint,"5.56 NATO|223",Semi-Automatic,10+1,Black,"Magpul Fixed/ Black","Low Profile Flip-Up Dual Aperture Rear","16 Chrome Moly Vanadium",36.25,"1:8 RH Twist/ GI Style Charging Handle/ Forward Ast"
MA9826C65CA,"SPG M1A 6.5C RFL 10R B CA",$1614.00,$2087.00,$1614.00,,,0,#706397916985#,"Springfield Armory","Rifle: Semi-Auto",M1A,"6.5 CREEDMOOR",Semi-Automatic,10+1,"Black Matte","Black Composite","Front:Nat. Match .062 Rear: Match Aperture .052",22,"45 - 46.25","2 Stage/ NM Tuned Trigger"
MA9102CA,"SPG M1A 7.62 STD RFL WLNT CA",$1451.00,$1875.00,$1451.00,,,3,#706397019020#,"Springfield Armory","Rifle: Semi-Auto","M1A|M1A Standard","7.62 NATO|308",Semi-Automatic,10+1,"Black Matte",Walnut,"Ft: Military Post Rr: Military Aperture Adj",22,44.3,"5-6lb Two-Stage Military Trigger/ Fiberglass Hndgrd"
MA9106CA,"SPG M1A 7.62 RFL BLK SYN 10RD",$1370.00,$1770.00,$1370.00,,,2,#706397019068#,"Springfield Armory","Rifle: Semi-Auto","M1A|M1A Standard","7.62 NATO|308",Semi-Automatic,10+1,"Black Matte","Synthetic/ Black","Ft: Mil Post Rr: Mil Aperture w/ MOA Adj",22,44.3,"5-6 lbs Two-Stage Military Trigger/ Twist 1-12 RH"
MA9222CA,"SPG M1A 7.62 RFL N.M.BBL WLNT",$1594.00,$2060.00,$1594.00,,,5,#706397019228#,"Springfield Armory","Rifle: Semi-Auto","M1A|M1A Loaded Standard","7.62 NATO|308",Semi-Automatic,10+1,Black,"New Walnut Stock","Match GI Sight 1/2-MOA Windage-1-MOA-Elevation",22,44.3,
MA9226CA,"SPG M1A 7.62 RFL NM BBL/BLK CA",$1499.00,$1938.00,$1499.00,,,2,#706397019266#,"Springfield Armory","Rifle: Semi-Auto","M1A|M1A Loaded Standard","7.62 NATO|308",Semi-Automatic,10+1,Black,"Synthetic/ Black","FT: National Match .062 Blade",22,44.333,
MA9102-50TH,"SPG M1A 50TH ANN 308 10RD RFL",$1979.99,$2499.00,$1979.99,,,A*,#706397977511#,"Springfield Armory","Rifle: Semi-Auto","M1A|M1A Standard","7.62 NATO|308",Semi-Automatic,10+1,"Black Matte","Upgraded Walnut w/ 50th Anniversary Medallion","FR: NM .062 Blade RR: Match-Grade Non-Hooded",22,44.33,"Includes White Pine Display Crate & Rifle Case"
HC5910,"SPG MAG HELLCAT 9MM 10RD",$22.99,$30.99,$22.99,$20.23,11/30/2024,6,#706397941826#,"Springfield Armory",,,"9MM LUGER",,10,,,,,,
HC5911,"SPG MAG HELLCAT 9MM 11RD",$22.99,$30.99,$22.99,$20.23,11/30/2024,11,#706397929473#,"Springfield Armory",,,"9MM LUGER",,11,,,,,,
HC5913,"SPG MAG HELLCAT 9MM 13RD",$32.99,$42.99,$32.99,$29.03,11/30/2024,24,#706397931247#,"Springfield Armory",,,"9MM LUGER",,13,,,,,,
HC5915,"SPG MAG HELLCAT 9MM 15RD BLK",$32.99,$42.99,$32.99,$29.03,11/30/2024,25,#706397940324#,"Springfield Armory",,,"9MM LUGER",,15,,,,,,
HC5915F,"SPG MAG HELLCAT 9MM 15RD FDE",$32.99,$42.99,$32.99,$29.03,11/30/2024,5,#706397941857#,"Springfield Armory",,,"9MM LUGER",,15,,,,,,
HCP5915,"SPG MAG HELL PRO 9MM 15RD BLK",$32.99,$42.99,$32.99,$29.03,11/30/2024,38,#706397958626#,"Springfield Armory",,,"9MM LUGER",,15,,,,,,
HCP5917,"SPG MAG HELL PRO 9MM 17RD BLK",$32.99,$42.99,$32.99,$29.03,11/30/2024,16,#706397968113#,"Springfield Armory",,,"9MM LUGER",,17,,,,,,
HCP5917F,"SPG MAG HELLCAT 9MM 17RD FDE",$32.99,$42.99,$32.99,$29.03,11/30/2024,25,#706397970208#,"Springfield Armory",,,"9MM LUGER",,17,,,,,,
EC6010,"SPG MAG ECHELON 9MM 10RD",$36.99,$44.99,$36.99,$32.55,11/30/2024,7,#706397971816#,"Springfield Armory",,,"9MM LUGER",,10,,,,,,
EC6015,"SPG MAG ECHELON 9MM 15RD BLK",$36.99,$44.99,$36.99,$32.55,11/30/2024,5,#706397970628#,"Springfield Armory",,,"9MM LUGER",,15,,,,,,
EC6017,"SPG MAG ECHELON 9MM 17RD BLK",$36.99,$44.99,$36.99,$32.55,11/30/2024,43,#706397970635#,"Springfield Armory",,,"9MM LUGER",,17,,,,,,
EC6020,"SPG MAG ECHELON 9MM 20RD BLK",$36.99,$44.99,$36.99,$32.55,11/30/2024,14,#706397970642#,"Springfield Armory",,,"9MM LUGER",,20,,,,,,
XD1940,"SPG MAG XDSC 40SW 9RD",$22.99,$30.99,$22.99,$20.23,11/30/2024,7,#706397854706#,"Springfield Armory",,,"40 S&W",,9,,,,,,
XD0940,"SPG MAG XD 40SW 10RD",$22.99,$30.99,$22.99,$20.23,11/30/2024,13,#706397850739#,"Springfield Armory",,,"40 S&W",,10,,,,,,
XD0932,"SPG MAG XDSC 40SW 12RD W/SLV",$32.99,$42.99,$32.99,$29.03,11/30/2024,4,#706397861230#,"Springfield Armory",,,"40 S&W",,12,,,,,,
XD5011,"SPG MAG XD 40SW 12RD",$22.99,$30.99,$22.99,$20.23,11/30/2024,34,#706397859152#,"Springfield Armory",,,"40 S&W",,12,,,,,,
XD0923,"SPG MAG XD 9MM 10RD",$22.99,$30.99,$22.99,$20.23,11/30/2024,11,#706397850722#,"Springfield Armory",,,"9MM LUGER",,10,,,,,,
XD1923,"SPG MAG XDSC 9MM 10RD",$22.99,$30.99,$22.99,$20.23,11/30/2024,6,#706397850753#,"Springfield Armory",,,"9MM LUGER",,10,,,,,,
XD1924,"SPG MAG XDSC 9MM 13RD",$22.99,$30.99,$22.99,$20.23,11/30/2024,25,#706397877033#,"Springfield Armory",,,"9MM LUGER",,13,,,,,,
XD0931,"SPG MAG XDSC 9MM 16RD W/SLV",$32.99,$42.99,$32.99,$29.03,11/30/2024,8,#706397861223#,"Springfield Armory",,,"9MM LUGER",,16,,,,,,
XD0933,"SPG MAG XDSC 9MM 16RD W/OD SLV",$32.99,$42.99,$32.99,$29.03,11/30/2024,11,#706397862015#,"Springfield Armory",,,"9MM LUGER",,16,,,,,,
XD5016,"SPG MAG XD 9MM 16RD",$22.99,$30.99,$22.99,$20.23,11/30/2024,26,#706397860639#,"Springfield Armory",,,"9MM LUGER",,16,,,,,,
XD4510,"SPG MAG XD/XD(M) 45AP 10RD",$23.99,$31.99,$23.99,$21.11,11/30/2024,12,#706397867034#,"Springfield Armory",,,"45 AUTO",,10,,,,,,"Fits XD and XD(M)"
XD4545,"SPG MAG XD/XD(M) 45AP 13RD",$23.99,$31.99,$23.99,$21.11,11/30/2024,13,#706397866747#,"Springfield Armory",,,"45 AUTO",,13,,,,,,"Fits XD and XD(M)"
